experiment,seed,run_idx,success,total_downtime,total_damage,total_defense_cost,total_falsepos_actions,mean_time_to_detect,total_attacker_utility
Solver_Bayesian_Adaptive,12345,0,False,0,0,80.0,0,1.0,664.4000000004977
Solver_Bayesian_Adaptive,12345,1,False,0,0,110.0,0,3.0,3216.7279374995787
Solver_Bayesian_Adaptive,12345,2,False,0,0,765.0,1,4.0,6689.481978555503
Solver_Bayesian_Adaptive,12345,3,False,0,0,240.0,0,3.0,2871.8699374987405
Solver_Bayesian_Adaptive,12345,4,False,0,0,845.0,1,5.0,9484.460175427259
Solver_Bayesian_Adaptive,12345,5,True,50,50,17223.74094105521,0,,18299.4868067345
Solver_Bayesian_Adaptive,12345,6,False,0,0,685.0,1,3.0,3165.0574374992702
Solver_Bayesian_Adaptive,12345,7,False,0,0,790.0,1,5.0,9678.95308168136
Solver_Bayesian_Adaptive,12345,8,False,0,0,405.0,0,6.0,14133.687764055601
Solver_Bayesian_Adaptive,12345,9,False,0,0,505.0,0,,18272.285337981535
Solver_Bayesian_Adaptive,12345,10,False,0,0,185.0,0,3.0,3165.0574375007054
Solver_Bayesian_Adaptive,12345,11,False,0,0,505.0,0,,18273.65155673214
Solver_Bayesian_Adaptive,12345,12,False,0,0,110.0,0,3.0,3136.205187499557
Solver_Bayesian_Adaptive,12345,13,False,0,0,185.0,0,3.0,3165.0574375008728
Solver_Bayesian_Adaptive,12345,14,False,0,0,1950.0,3,,18468.144462982407
Solver_Bayesian_Adaptive,12345,15,False,0,0,105.0,0,2.0,1985.9316874990636
Solver_Bayesian_Adaptive,12345,16,False,0,0,505.0,0,,18273.651556733817
Solver_Bayesian_Adaptive,12345,17,False,0,0,25.0,0,1.0,1025.9999999995123
Solver_Bayesian_Adaptive,12345,18,False,0,0,90.0,0,3.0,3162.0404374986074
Solver_Bayesian_Adaptive,12345,19,False,0,0,425.0,0,6.0,13774.712764052587
Solver_Bayesian_Adaptive,12345,20,False,0,0,185.0,0,3.0,3165.0574375004226
Solver_Bayesian_Adaptive,12345,21,False,0,0,185.0,0,3.0,3163.691218748533
Solver_Bayesian_Adaptive,12345,22,True,50,50,17258.74094105521,0,,18294.751556732066
Solver_Bayesian_Adaptive,12345,23,False,0,0,110.0,0,3.0,4128.081937499707
Solver_Bayesian_Adaptive,12345,24,False,0,0,105.0,0,2.0,2123.37946874815
Solver_Bayesian_Adaptive,12345,25,False,0,0,105.0,0,2.0,1985.9316874995902
Solver_Bayesian_Adaptive,12345,26,False,0,0,185.0,0,3.0,3165.0574375016236
Solver_Bayesian_Adaptive,12345,27,False,0,0,185.0,0,3.0,3165.057437499132
Solver_Bayesian_Adaptive,12345,28,False,0,0,430.0,0,7.0,18664.003587982403
Solver_Bayesian_Adaptive,12345,29,False,0,0,105.0,0,2.0,1985.9316875004629
Solver_Bayesian_Adaptive,12345,30,False,0,0,325.0,0,5.0,9842.068956679832
Solver_Bayesian_Adaptive,12345,31,False,0,0,430.0,0,,18325.322056729718
Solver_Bayesian_Adaptive,12345,32,True,50,50,17223.74094105521,0,,18468.144462979617
Solver_Bayesian_Adaptive,12345,33,False,0,0,105.0,0,2.0,1985.931687501661
Solver_Bayesian_Adaptive,12345,34,False,0,0,925.0,1,6.0,13772.08776405238
Solver_Bayesian_Adaptive,12345,35,True,50,50,17278.74094105521,0,,18273.651556732104
Solver_Bayesian_Adaptive,12345,36,False,0,0,930.0,1,,19236.67605673084
Solver_Bayesian_Adaptive,12345,37,True,50,50,17723.74094105521,1,,18468.144462980697
Solver_Bayesian_Adaptive,12345,38,False,0,0,1005.0,1,7.0,18273.651556729194
Solver_Bayesian_Adaptive,12345,39,False,0,0,350.0,0,6.0,14162.439795304152
Solver_Bayesian_Adaptive,12345,40,False,0,0,110.0,0,3.0,3380.6503437499746
Solver_Bayesian_Adaptive,12345,41,False,0,0,245.0,0,4.0,6634.794478556093
Solver_Bayesian_Adaptive,12345,42,False,0,0,25.0,0,1.0,1026.0000000002235
Solver_Bayesian_Adaptive,12345,43,False,0,0,105.0,0,2.0,1985.9316875007225
Solver_Bayesian_Adaptive,12345,44,False,0,0,325.0,0,5.0,9429.772675431497
Solver_Bayesian_Adaptive,12345,45,False,0,0,185.0,0,3.0,3165.0574374993616
Solver_Bayesian_Adaptive,12345,46,True,50,50,17278.74094105521,0,,18273.651556730623
Solver_Bayesian_Adaptive,12345,47,False,0,0,450.0,0,7.0,18299.486806733956
Solver_Bayesian_Adaptive,12345,48,False,0,0,110.0,0,3.0,3555.409468750243
Solver_Bayesian_Adaptive,12345,49,False,0,0,770.0,1,5.0,9700.874706679724
Solver_Bayesian_Adaptive,12345,50,False,0,0,1005.0,1,,18273.651556729415
Solver_Bayesian_Adaptive,12345,51,False,0,0,110.0,0,3.0,3555.409468749416
Solver_Bayesian_Adaptive,12345,52,False,0,0,185.0,0,3.0,3165.0574374994135
Solver_Bayesian_Adaptive,12345,53,True,50,50,17778.74094105521,1,,18099.714056731227
Solver_Bayesian_Adaptive,12345,54,True,50,50,17278.74094105521,0,,18273.651556730365
Solver_Bayesian_Adaptive,12345,55,False,0,0,505.0,0,,18664.65680673143
Solver_Bayesian_Adaptive,12345,56,False,0,0,1505.0,2,7.0,18273.65155673056
Solver_Bayesian_Adaptive,12345,57,False,0,0,25.0,0,1.0,1028.6250000008256
Solver_Bayesian_Adaptive,12345,58,False,0,0,130.0,0,3.0,3190.892687499125
Solver_Bayesian_Adaptive,12345,59,False,0,0,505.0,0,7.0,18272.285337980054
Solver_Bayesian_Adaptive,12345,60,False,0,0,130.0,0,3.0,3577.162687499389
Solver_Bayesian_Adaptive,12345,61,False,0,0,505.0,0,,18273.65155673124
Solver_Bayesian_Adaptive,12345,62,True,50,50,17778.74094105521,1,,18273.651556729368
Solver_Bayesian_Adaptive,12345,63,False,0,0,1505.0,2,,18273.651556730565
Solver_Bayesian_Adaptive,12345,64,True,50,50,17258.74094105521,0,,18493.81255673228
Solver_Bayesian_Adaptive,12345,65,False,0,0,950.0,1,,18468.144462979388
Solver_Bayesian_Adaptive,12345,66,False,0,0,110.0,0,3.0,3216.7279375010908
Solver_Bayesian_Adaptive,12345,67,False,0,0,485.0,0,,18299.77858798122
Solver_Bayesian_Adaptive,12345,68,False,0,0,505.0,0,,18273.65155672987
Solver_Bayesian_Adaptive,12345,69,False,0,0,185.0,0,3.0,3165.0574374987264
Solver_Bayesian_Adaptive,12345,70,False,0,0,110.0,0,3.0,3555.40946875001
Solver_Bayesian_Adaptive,12345,71,False,0,0,165.0,0,3.0,3047.3434374995213
Solver_Bayesian_Adaptive,12345,72,False,0,0,185.0,0,3.0,3165.0574374993425
Solver_Bayesian_Adaptive,12345,73,False,0,0,270.0,0,5.0,9536.13067543053
