experiment,run_idx,step_idx,ck_stage,technique_id,technique_name,action_success,detected,detect_prob,detection_delay,impact_minutes,attacker_belief_high_cap,nash_prob_chosen,discounted_payoff_step
Solver_Bayesian_Adaptive,0,0,Reconnaissance,T0887,Wireless Sniffing,True,True,0.7200000000000001,1,0,0.8181818181818181,0.3333333333333333,664.4000000004977
Solver_Bayesian_Adaptive,1,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,0.9999999999993111,1028.6249999996512
Solver_Bayesian_Adaptive,1,1,Weaponization,T0849,Masquerading,False,False,0.005250000000000001,0,0,0.015384615384615373,0.3333333333333333,1147.7911874995416
Solver_Bayesian_Adaptive,1,2,Delivery,T0865,Spearphishing Attachment,False,True,0.3960000000000001,1,0,0.06569343065693425,1.0,1040.3117500003862
Solver_Bayesian_Adaptive,2,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,0.9999999999989795,1028.6250000005637
Solver_Bayesian_Adaptive,2,1,Weaponization,T0849,Masquerading,False,False,0.04725000000000001,0,0,0.015384615384615373,0.9380952380949004,1096.1206875008731
Solver_Bayesian_Adaptive,2,2,Delivery,T0865,Spearphishing Attachment,False,False,0.3960000000000001,0,0,0.01,1.0,1040.3117500002
Solver_Bayesian_Adaptive,2,3,Exploitation,T0863,User Execution,True,True,0.051750000000000004,1,0,0.043478260869565216,1.0,3524.4245410538665
Solver_Bayesian_Adaptive,3,0,Reconnaissance,T0888,Remote System Information Discovery,True,False,0.27,0,0,0.11111111111111108,0.3333333333333333,735.4374999991389
Solver_Bayesian_Adaptive,3,1,Weaponization,T0849,Masquerading,True,False,0.04725000000000001,0,0,0.015384615384615373,0.9380952380940029,1096.1206875001037
Solver_Bayesian_Adaptive,3,2,Delivery,T0865,Spearphishing Attachment,False,True,0.3960000000000001,1,0,0.06569343065693425,1.0,1040.3117499994978
Solver_Bayesian_Adaptive,4,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.6249999992083
